;Open;High;Low;Close;Volume
2021-09-19;48292.75;48372.83;46829.18;47241.75;29847
2021-09-20;47241.75;47347.25;42500.0;43015.62;78003
2021-09-21;43016.64;43639.0;39600.0;40734.38;84534
2021-09-22;40734.09;44000.55;40565.39;43543.61;58349
2021-09-23;43546.37;44978.0;43069.09;44865.26;48699
2021-09-24;44865.26;45200.0;40675.0;42810.57;84113
2021-09-25;42810.58;42966.84;41646.28;42670.64;33594
2021-09-26;42670.63;43950.0;40750.0;43160.9;49879
2021-09-27;43160.9;44350.0;42098.0;42147.35;39776
2021-09-28;42147.35;42787.38;40888.0;41026.54;43372
2021-09-29;41025.01;42590.0;40753.88;41524.28;33511
2021-09-30;41524.29;44141.37;41410.17;43824.1;46381
2021-10-01;43820.01;48495.0;43283.03;48141.61;66244
2021-10-02;48141.6;48336.59;47430.18;47634.9;30508
2021-10-03;47634.89;49228.08;47088.0;48200.01;30825
2021-10-04;48200.01;49536.12;46891.0;49224.94;46796
2021-10-05;49224.93;51886.3;49022.4;51471.99;52125
2021-10-06;51471.99;55750.0;50382.41;55315.0;79877
2021-10-07;55315.0;55332.31;53357.0;53785.22;54917
2021-10-08;53785.22;56100.0;53617.61;53951.43;46160
2021-10-09;53955.67;55489.0;53661.67;54949.72;55177
2021-10-10;54949.72;56561.31;54080.0;54659.0;89237
2021-10-11;54659.01;57839.04;54415.06;57471.35;52933
2021-10-12;57471.35;57680.0;53879.0;55996.93;53471
2021-10-13;55996.91;57777.0;54167.19;57367.0;55808
2021-10-14;57370.83;58532.54;56818.05;57347.94;43053
2021-10-15;57347.94;62933.0;56850.0;61672.42;82512
2021-10-16;61672.42;62378.42;60150.0;60875.57;35467
2021-10-17;60875.57;61718.39;58963.0;61528.33;39099
2021-10-18;61528.32;62695.78;59844.45;62009.84;51798
2021-10-19;62005.6;64486.0;61322.22;64280.59;53628
2021-10-20;64280.59;67000.0;63481.4;66001.41;51428
2021-10-21;66001.4;66639.74;62000.0;62193.15;68538
2021-10-22;62193.15;63732.39;60000.0;60688.22;52119
2021-10-23;60688.23;61747.64;59562.15;61184.71;18080
