;open_time;Open;High;Low;Close;Volume;close_time
2021-09-18 04:59:59.999;1631948400000.0;48590.87;48730.0;48502.68;48622.01;1153;1631951999999.0
2021-09-18 05:59:59.999;1631952000000.0;48622.01;48765.43;48571.27;48656.62;1291;1631955599999.0
2021-09-18 06:59:59.999;1631955600000.0;48656.62;48824.54;48505.0;48613.88;1097;1631959199999.0
2021-09-18 07:59:59.999;1631959200000.0;48613.88;48697.13;48547.52;48582.57;798;1631962799999.0
2021-09-18 08:59:59.999;1631962800000.0;48582.56;48645.94;48315.0;48367.16;1160;1631966399999.0
2021-09-18 09:59:59.999;1631966400000.0;48367.16;48680.0;48249.88;48360.0;1490;1631969999999.0
2021-09-18 10:59:59.999;1631970000000.0;48360.0;48544.63;48313.74;48447.0;852;1631973599999.0
2021-09-18 11:59:59.999;1631973600000.0;48447.01;48520.01;48368.15;48474.0;958;1631977199999.0
2021-09-18 12:59:59.999;1631977200000.0;48474.0;48540.0;48249.16;48414.99;920;1631980799999.0
2021-09-18 13:59:59.999;1631980800000.0;48414.99;48518.99;48155.1;48198.37;1210;1631984399999.0
2021-09-18 14:59:59.999;1631984400000.0;48198.36;48371.82;48093.28;48333.02;1025;1631987999999.0
2021-09-18 15:59:59.999;1631988000000.0;48333.02;48421.57;48222.27;48296.05;989;1631991599999.0
2021-09-18 16:59:59.999;1631991600000.0;48296.05;48296.06;48062.63;48266.0;939;1631995199999.0
2021-09-18 17:59:59.999;1631995200000.0;48266.0;48269.71;47800.51;47974.02;1841;1631998799999.0
2021-09-18 18:59:59.999;1631998800000.0;47974.02;48100.0;47859.59;47874.92;764;1632002399999.0
2021-09-18 19:59:59.999;1632002400000.0;47874.91;48084.18;47830.08;48038.33;768;1632005999999.0
2021-09-18 20:59:59.999;1632006000000.0;48038.34;48369.37;47950.56;48292.74;1384;1632009599999.0
2021-09-18 21:59:59.999;1632009600000.0;48292.75;48372.83;47899.99;47932.01;1421;1632013199999.0
2021-09-18 22:59:59.999;1632013200000.0;47932.0;47932.01;47591.83;47872.86;1564;1632016799999.0
